Core #,Smear Slide #,Depth (cm),Grain Size,Quartz,Feldspar,Dark Lithics,Manganese,Other,Forams,Sponge Spicules,Carbonate Fragments,Pteropods,Other,Comments
5GGC,1,4,clay,-,-,-,-,,C,A,-,R,,
,2,24,clay-silt,-,-,P,-,,C,A,-,-,,
,3,43,clay,-,-,-,-,,P,A,-,-,,
,4,95,clay,-,-,P,-,,C,C-A,-,-,,
,,,,,,,,,,,,,,
7GGC,1,137,silt-f.sand,C,P,P,C,,-,-,-,-,,Mn encrusting grains
,2,3,clay,-,-,-,-,,-,P,-,-,,
,3,30,,,,,,,,,,,,
,,,,,,,,,,,,,,
8GGC,1,3,clay-silt,-,-,-,-,,C,C-A,P,P,,
,2,13,clay-silt,-,-,-,-,,C,C,P,P,,
,3,46,clay,-,-,-,-,,R,P-C,R,R,,
,4,105,clay,-,-,-,-,,P,C-A,P,P,,
,5,170,clay,-,-,-,-,,P,C-A,P,P,,
,,,,,,,,,,,,,,
9GGC,1,21,clay,-,-,-,-,,P-C,C,P,R,,
,2,71,clay,-,-,-,-,,C,A,P,P,,
,3,92,clay-silt,-,-,-,-,,P-C,C-A,P,P,,
,4,111,5,silt,-,-,-,-,,C-A,C-A,C,P,,
,5,125,5,clay,-,-,-,-,,P-C,C,P,P,,
,6,169,5,silt-v.f sand,-,-,-,-,,A,P-C,P,P-C,,
,,,,,,,,,,,,,,
10GGC,1,6,clay-silt,-,-,-,-,,P,C,P,P,,
,2,20,silt-f.sand,-,-,-,-,,P,C,P-C,P,,
,,,,,,,,,,,,,,
12GGC,1,7,clay-silt,-,-,-,-,,P,C-A,P,P,,
,,,,,,,,,,,,,,
13GGC,1,5,clay,-,-,-,-,,P,A,P,P,,
,2,14,clay,-,-,-,-,,-,C,P,R,,
,3,26,5,f. sand,C-A,C,P,,mica,R,P,P,-,,Benthic forams present
,4,58,f. sand,C-A,C,P,-,mica,C,C,P,R,,more benthic than planktonic forams
,5,112,silt-f.sand,P,-,P,-,mica,C-A,A,P,R,,planktonics forams more abundant?
,,,,,,,,,,,,,,
17GGC,1,110,clay,-,-,-,P,,-,C,-,-,,manganese in tiny fragments
,,,,,,,,,,,,,,
18GGC,1,17,silt-v.f.sand,?,-,-,-,,C-A,C-A,P,P,,benthic and planktonic forams
,2,55,clay,-,-,-,-,,-,P-C,-,-,,
,3,10,clay,-,-,-,-,,P,C-A,-,-,,
,,,,,,,,,,,,,,
20GGC,1,4,silt-v.f. sand,P,P,P,-,,P-C,C-A,P,R-P,,
,2,40,silt v.f. sand,P,P,R,-,,P-C,C-A,-,R ,,
,,,,,,,,,,,,,,
21GGC,1,6,clay,-,-,-,-,,A,A,-,P,,
,2,30,clay-silt,R,-,P,-,,A,A,A,P,,
,3,60,clay-silt,R,-,-,-,,A,A,P,P,,
,4,70,5,clay-silt,-,-,-,-,,A,A,C,C,,
,5,87,clay,-,-,-,-,,C,A,P,P,,
,6,108,5,clay-silt,-,-,P,-,,C,A,C,P,,
,7,119,clay-silt,-,-,P,-,,C,A,C,P,,
,8,146,5,silt-sand,C-A,-,C-A,-,mica,P,A,C,P,,
,9,187,silt ,C ,-,-,-,,P,A,P,P,,
,,,,,,,,,,,,,,
22GGC,1,1,clay-silt,-,-,R,-,,R,A,-,R,,benthic forams seen
,2,153,clay ,-,-,-,-,,-,A,-,-,,
,,,,,,,,,,,,,,
23GGC,1,1,clay,-,-,-,-,,P,P,P,R,,
,2,20,clay-silt,-,-,-,-,,C,C,P,P,,
,,,,,,,,,,,,,,
24GGC,1,20,clay-silt,-,-,-,-,,C,C-A,P,P,,
,,,,,,,,,,,,,,
28GGC,1,15,clay,-,-,-,P,,-,-,-,-,,
,2,7,clay,-,-,-,P,,-,-,-,-,,
,3,2,clay,-,-,-,-,,-,C,-,-,,
,,,,,,,,,,,,,,
31GGC,1,5,clay,-,-,-,-,,P-C,P,P,P-C,,
,,,,,,,,,,,,,,
33GGC,1,7,silt-v.f. sand,P,?,P,-,,P,C,-,P,,
,2,45,silt-v.f. sand,P,?,P,-,,P,A,-,-,,
,,,,,,,,,,,,,,
38GGC,1,246,5,clay-silt,-,-,-,-,,P,C,P,-,,
,2,224,5,clay ,-,-,-,-,,P,C,-,-,,
,,,,,,,,,,,,,,
40GGC,1,7,clay,-,-,P,-,,P,C,-,-,,
,2,23,clay,-,-,-,-,,-,-,-,-,,
